Station,City,Latitude,Longitude,Timestamp,Pressure_hPa
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T03:30:00+05:30,1006.9
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T04:30:00+05:30,1007.1
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T05:30:00+05:30,1007.2
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T06:30:00+05:30,1007.4
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T07:30:00+05:30,1007.6
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T08:30:00+05:30,1007.7
Chennai Marina Observatory,Chennai,13.0500,80.2824,2026-06-25T09:30:00+05:30,1007.8
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T03:30:00+05:30,1010.2
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T04:30:00+05:30,1010.5
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T05:30:00+05:30,1010.8
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T06:30:00+05:30,1011.0
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T07:30:00+05:30,1011.3
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T08:30:00+05:30,1011.5
Coimbatore Aero Station,Coimbatore,11.0168,76.9558,2026-06-25T09:30:00+05:30,1011.6
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T03:30:00+05:30,1010.6
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T04:30:00+05:30,1010.4
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T05:30:00+05:30,1010.2
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T06:30:00+05:30,1010.1
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T07:30:00+05:30,1010.0
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T08:30:00+05:30,1009.9
Madurai Urban Sensor,Madurai,9.9252,78.1198,2026-06-25T09:30:00+05:30,1009.9
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T03:30:00+05:30,1009.8
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T04:30:00+05:30,1009.9
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T05:30:00+05:30,1010.0
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T06:30:00+05:30,1010.1
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T07:30:00+05:30,1010.2
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T08:30:00+05:30,1010.3
Tiruchirappalli River Node,Tiruchirappalli,10.7905,78.7047,2026-06-25T09:30:00+05:30,1010.4
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T03:30:00+05:30,1011.3
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T04:30:00+05:30,1011.5
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T05:30:00+05:30,1011.7
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T06:30:00+05:30,1011.9
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T07:30:00+05:30,1012.0
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T08:30:00+05:30,1012.1
Salem Ridge Station,Salem,11.6643,78.1460,2026-06-25T09:30:00+05:30,1012.2
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T03:30:00+05:30,1009.5
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T04:30:00+05:30,1009.3
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T05:30:00+05:30,1009.1
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T06:30:00+05:30,1009.0
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T07:30:00+05:30,1008.9
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T08:30:00+05:30,1008.8
Tirunelveli South Array,Tirunelveli,8.7139,77.7567,2026-06-25T09:30:00+05:30,1008.7
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T03:30:00+05:30,1007.5
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T04:30:00+05:30,1007.4
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T05:30:00+05:30,1007.2
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T06:30:00+05:30,1007.1
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T07:30:00+05:30,1007.0
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T08:30:00+05:30,1006.9
Thoothukudi Coastal Node,Thoothukudi,8.7642,78.1348,2026-06-25T09:30:00+05:30,1006.9
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T03:30:00+05:30,1012.2
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T04:30:00+05:30,1012.5
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T05:30:00+05:30,1012.8
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T06:30:00+05:30,1013.0
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T07:30:00+05:30,1013.2
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T08:30:00+05:30,1013.3
Vellore Fort Station,Vellore,12.9165,79.1325,2026-06-25T09:30:00+05:30,1013.4
Erode Plains Sensor,Erode,11.3410,77.7172,2026-06-25T03:30:00+05:30,1010.5
Erode Plains Sensor,Erode,11.3410,77.7172,2026-06-25T04:30:00+05:30,1010.6
Erode Plains Sensor,Erode,11.3410,77.7172,2026-06-25T05:30:00+05:30,1010.7
Erode Plains Sensor,Erode,11.3410,77.7172,2026-06-25T06:30:00+05:30,1010.8
Erode Plains Sensor,Erode,11.3410,77.7172,2026-06-25T07:30:00+05:30,1010.9
